"scientificname","commonname","aphiaid","tsn","taxonstatus","aphiaidaccepted","scientificnameaccpt","classname","ordername","family","genus","species"
Myliobatis freminvillei,bullnose eagle ray,"399783","160980",accepted,"399783",Myliobatis freminvillei,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,freminvillei
Ginglymostoma cirratum,nurse shark,"105846","159977",accepted,"105846",Ginglymostoma cirratum,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,cirratum
Pterois volitans,lionfish,"159559","166883",accepted,"159559",Pterois volitans,Actinopteri,Perciformes,Scorpaenidae,Pterois,volitans
Epinephelus guttatus,red hind,"159352","167700",accepted,"159352",Epinephelus guttatus,Actinopteri,Perciformes,Serranidae,Epinephelus,guttatus
Rachycentron canadum,cobia,"127006","168566",accepted,"127006",Rachycentron canadum,Actinopteri,Carangiformes,Rachycentridae,Rachycentron,canadum
Epinephelus morio,red grouper,"159354","167702",accepted,"159354",Epinephelus morio,Actinopteri,Perciformes,Serranidae,Epinephelus,morio
Anguilla rostrata,American eel,"158562","161127",accepted,"158562",Anguilla rostrata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,rostrata
Lutjanus campechanus,northern red snapper,"159795","168853",accepted,"159795",Lutjanus campechanus,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,campechanus
Lobotes surinamensis,tripletail,"126973","169007",accepted,"126973",Lobotes surinamensis,Actinopteri,Acanthuriformes,Lobotidae,Lobotes,surinamensis
Aetobatus narinari,spotted eagle ray,"217426","160978",accepted,"217426",Aetobatus narinari,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,narinari
Paralichthys dentatus,summer flounder,"158826","172735",accepted,"158826",Paralichthys dentatus,Actinopteri,Pleuronectiformes,Paralichthyidae,Paralichthys,dentatus
Lutjanus apodus,schoolmaster snapper,"159793","168850",accepted,"159793",Lutjanus apodus,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,apodus
Calamus bajonado,jolthead porgy,"159241","169197",accepted,"159241",Calamus bajonado,Actinopteri,Eupercaria incertae sedis,Sparidae,Calamus,bajonado
Centropomus parallelus,smallscale fat snook,"280064","167646",accepted,"280064",Centropomus parallelus,Actinopteri,Carangaria incertae sedis,Centropomidae,Centropomus,parallelus
Haemulon carbonarium,caesar grunt,"275724","169063",accepted,"275724",Haemulon carbonarium,Actinopteri,Eupercaria incertae sedis,Haemulidae,Haemulon,carbonarium
Carcharhinus plumbeus,sandbar shark,"105797","160289",accepted,"105797",Carcharhinus plumbeus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,plumbeus
Paralichthys albigutta,Gulf flounder,"158825","172736",accepted,"158825",Paralichthys albigutta,Actinopteri,Pleuronectiformes,Paralichthyidae,Paralichthys,albigutta
Mycteroperca phenax,scamp,"159233","167763",accepted,"159233",Mycteroperca phenax,Actinopteri,Perciformes,Serranidae,Mycteroperca,phenax
